,picture,MotherID,light,dark,dark/light,black,white,red,green,blue,yellow,purple,turquoise
197,G18-GS-28.posterize.JPG,G18-GS-28,20707,7748,0.374172985,5957,20164,1662,0,39888,543,129,44
198,G18-GS-3.posterize.JPG,G18-GS-3,22510,6439,0.286050644,4803,21374,1497,0,58537,1136,139,6
199,G18-GS-4.posterize.JPG,G18-GS-4,23458,9453,0.402975531,7933,22234,1434,0,46732,1224,86,7
200,G18-GS-5.posterize.JPG,G18-GS-5,23237,14051,0.604682188,12701,21483,1247,0,56544,1754,103,22
201,G18-GS-6.posterize.JPG,G18-GS-6,6934,1575,0.227141621,973,6841,484,0,28297,93,118,22
202,G18-GS-7.posterize.JPG,G18-GS-7,12711,5251,0.413106758,4092,11505,1093,0,36806,1206,66,105
203,G18-GS-8.posterize.JPG,G18-GS-8,28606,9015,0.315143676,6365,27568,2501,0,41991,1038,149,68
204,G18-GS-9.posterize.JPG,G18-GS-9,13755,5839,0.424500182,5286,13271,505,0,31375,484,48,28
205,G18-GH-1.posterize.JPG,G18-GH-1,37237,14937,0.401133281,13427,35422,1396,0,71668,1815,114,30
206,G18-GH-10.posterize.JPG,G18-GH-10,43389,25998,0.599184125,20068,40348,5530,0,77911,3041,400,110
207,G18-GH-2.posterize.JPG,G18-GH-2,67184,11526,0.171558704,3463,65158,7623,0,62959,2026,440,30
208,G18-GH-3.posterize.JPG,G18-GH-3,27896,15482,0.554989963,13213,22293,2114,0,54248,5603,155,17
209,G18-GH-4.posterize.JPG,G18-GH-4,20144,10003,0.496574662,8459,19154,1398,0,42192,990,146,13
210,G18-GH-5.posterize.JPG,G18-GH-5,29893,9065,0.303248252,6361,26658,2529,0,45540,3235,175,4
211,G18-GH-6.posterize.JPG,G18-GH-6,30335,12903,0.425350255,10407,28294,2326,0,66945,2041,170,31
212,G18-GH-7.posterize.JPG,G18-GH-7,70038,8687,0.124032668,3147,63048,5209,0,81915,6990,331,5
213,G18-GH-8.posterize.JPG,G18-GH-8,22600,9024,0.399292035,4677,21474,3762,0,54205,1126,585,4
214,G18-GH-9.posterize.JPG,G18-GH-9,25645,12027,0.468980308,10336,22495,1552,0,43040,3150,139,18
215,G18-HB-1.posterize.JPG,G18-HB-1,7554,2301,0.304606831,601,7380,1520,0,22231,174,180,74
216,G18-HB-10.posterize.JPG,G18-HB-10,34268,16305,0.475808334,13159,33074,2910,0,66170,1194,236,25
217,G18-HB-11.posterize.JPG,G18-HB-11,36213,12032,0.332256372,9283,35297,2594,0,47799,916,155,74
218,G18-HB-12.posterize.JPG,G18-HB-12,35336,12827,0.363000906,5641,32957,6879,0,56387,2379,307,45
